sampleid	Axis_1	Axis_2	Axis_3
SRR6468577	-0.055867502151811	-0.023609328494636	-0.110791839514563
SRR6468578	-0.057445356292567	0.020156539006916	-0.062474277346763
SRR6468579	-0.049724204419357	-0.122955768018514	0.036337656236465
SRR6468580	0.0677181269318	-0.010289909211406	0.038994440847629
SRR6468581	0.001298124217428	-0.07083237698632	-0.000554359515598
SRR6468582	0.067430006670445	-0.093103731487754	-0.061986953345864
SRR6468583	0.082560467852042	-0.067851540928269	0.000608724258273
SRR6468584	0.00379180024116	0.0158834638935	0.061909974984212
SRR6468585	0.008001872208714	-0.10245069849754	0.078320796250463
SRR6468586	0.174058616699382	-0.035541116867696	-0.047550429829537
SRR6468587	0.029230599582879	-0.099782352211018	-0.047099089275271
SRR6468588	-0.059432917757853	0.003579452038481	-0.010200051201281
SRR6468589	0.095132290342243	0.061035315937144	0.021145241218762
SRR6468590	-0.017215057434419	-0.05028284486145	-0.013260921440561
SRR6468591	0.1846940965551	0.035590580135298	-0.02822258862538
SRR6468592	0.020351537360994	-0.016089732032865	0.039349724677126
SRR6468593	0.011019471418239	0.011194953679726	-0.045098939955261
SRR6468594	-0.040995638761812	-0.040161527710495	0.032068658159045
SRR6468595	0.08229698463601	0.027831846685257	0.014744884208099
SRR6468596	0.077374510054884	-0.005154342190531	0.027160848594726
SRR6468597	-0.090288787310931	-0.021760930623291	0.020344336199172
SRR6468598	-0.004789406489004	-0.070365471153055	-0.082019369251103
SRR6468599	-0.088919484987608	-0.026094098976609	-0.039312021514982
SRR6468600	-0.044944899758996	-0.012915635397734	-0.086332227320284
SRR6468601	-0.046825275194754	-0.121773368952325	-0.013138996166986
SRR6468602	0.111392036893051	-0.002776087965661	-0.03364629091923
SRR6468603	-0.051267007418879	-0.004752038395592	-0.059292265759793
SRR6468604	-0.065679916855395	0.021734618081905	0.011788734077071
SRR6468605	-0.04323642868662	-0.011598648937747	0.109804952175149
SRR6468606	0.002928315162982	-0.146234159231757	0.061750421140263
SRR6468607	-0.055130815821346	0.028548014804391	0.000544849167749
SRR6468608	0.000151885488677	-0.065674021098977	-0.115158090976057
SRR6468609	0.055942421459978	-0.076444754849621	-0.031733738878828
SRR6468610	0.057969560640563	0.006595035645213	0.146293504427794
SRR6468611	-0.07050211582438	-0.022491834340369	0.126981625817324
SRR6468612	0.089672779575566	-0.152729051477939	0.084242879835995
SRR6468613	-0.067382234467264	-0.046081339511149	0.073739387787598
SRR6468614	-0.079412044846881	0.010199324435756	-0.032505129567801
SRR6468615	-0.044419014435031	-0.066747835299442	-0.008839871191477
SRR6468616	-0.053085031365029	0.1123766259299	0.019904296014531
SRR6468617	-0.084433740958714	0.006192840938274	0.039297484008533
SRR6468618	0.109059131059191	-0.057725176450852	0.002103815163653
SRR6468619	0.082853433227316	-0.053348404169143	0.073976386954444
SRR6468620	-0.016305543285587	-0.129726708186368	0.019152939869067
SRR6468621	-0.050807609672271	-0.020415160337044	-0.090314826098534
SRR6468622	-0.082603161469806	0.011157826264337	-0.017563456371894
SRR6468623	0.017217302695771	-0.064949111095768	-0.05659678448781
SRR6468624	0.085479900743474	-0.107326865400653	-0.044757905408245
SRR6468625	-0.041752462617312	-0.066951537063668	0.004573619927656
SRR6468626	-0.070600307254025	-0.054066074400264	0.001770013303835
SRR6468627	-0.037146816661264	0.012753653704504	-0.010295779683913
SRR6468628	-0.095131980100267	-0.011662225423987	0.057308709270306
SRR6468630	0.007858178431325	-0.017209368059252	0.003411677209457
SRR6468631	-0.019615224477281	-0.039157922898122	-0.111941373897816
SRR6468632	-0.070224423013951	-0.047386155788226	-0.014052246854087
SRR6468633	-0.07922725399933	-0.060910746311177	0.023257106142038
SRR6468634	-0.057940546098334	0.04363273259396	0.109172506198763
SRR6468635	-0.010037934747829	-0.072047268420368	0.012575736243004
SRR6468636	-0.073088176354632	0.032709143821167	0.092086756800968
SRR6468637	-0.005101418982567	-0.096123299887249	0.07750962624649
SRR6468638	0.114947873372747	0.010059143582925	-0.046229188083527
SRR6468639	-0.007883719746909	0.063421707268073	-0.109629079827177
SRR6468640	0.011810518535382	-0.069216595793576	-0.072859228901261
SRR6468641	-0.044795474964223	0.047250367013916	-0.043510784097621
SRR6468642	0.017157083746975	0.011040497385238	-0.001579838521488
SRR6468643	-0.003045666973214	-0.065010875174212	0.015128707080926
SRR6468644	-0.069221638724001	0.005042254593822	0.003985645132129
SRR6468645	-0.017243104882401	-0.025639810578108	-0.011087623467177
SRR6468646	-0.055904892842666	0.048679292853871	-0.030575548540375
SRR6468647	-0.02993740578061	0.059121376596589	-0.018032798975064
SRR6468648	-0.02862345298631	0.001360626216185	0.022029119664166
SRR6468649	-0.027406238528028	0.038354412672828	0.002942940088212
SRR6468650	-0.041707730724526	0.063867170687274	-0.069456705251589
SRR6468651	-0.028177990936285	0.028025444633793	0.004857574895517
SRR6468652	-0.039634336395442	0.026277396282568	-0.022740523030665
SRR6468653	0.042651990849333	-0.10151840350319	0.136654352929502
SRR6468654	0.164242523878597	0.043011144229335	-0.056754496353475
SRR6468655	-0.009019592930641	-0.076884790700175	-0.056683194239428
SRR6468656	-0.052228559280755	0.006717756313809	0.012071680188633
SRR6468657	-0.044283010075406	0.089267808344676	0.063913215223004
SRR6468658	-0.013694941507733	0.06441270740317	-0.130965198954885
SRR6468659	-0.06506001425792	0.024072328564505	0.071885897133703
SRR6468660	-0.058372539460001	-0.044318292482163	0.020335038854877
SRR6468661	0.173494444668739	0.007138543060099	0.011155729334867
SRR6468662	0.12700651198908	-0.078447705627139	-0.073919740060498
SRR6468663	0.167622128009461	-0.041574504202416	0.006833927644414
SRR6468664	0.178747319768841	-0.082357206229972	-0.094273316149828
SRR6468665	0.059452260553394	-0.068452550170274	-0.053481152523081
SRR6468666	0.002644011011955	-0.128030736159245	0.085330992147623
SRR6468667	0.042057381476958	0.0533720899785	0.080977636929678
SRR6468668	0.00863756305179	-0.122640314082044	-0.040191544520109
SRR6468669	0.009821327978153	-0.068979067401393	-0.075233001068407
