Taxa	Axis_1	Axis_2	Axis_3
Clostridium_lavalense	0.10369811304528	0.060899718648362	-0.013742225724667
Streptococcus_gordonii	0.054470443236644	0.097948431944928	0.048533840317926
Streptococcus_mutans	0.054814639207629	0.079066826637948	0.044458591829675
Turicimonas_muris	0.06043657825944	0.018409169461306	-0.011039765714039
Anaerotruncus_colihominis	0.070222546881154	0.054421561869333	0.000738273441261
Streptococcus_oralis	0.069777055196491	0.148904606746771	0.022550791385068
Clostridium_citroniae	0.089422263143919	0.099757868503026	-0.044919327383486
Actinomyces_oris	0.102058228037637	0.179008134241193	0.017019341906904
Enorma_massiliensis	0.142575692033742	0.049236481572244	-0.027529701155269
Streptococcus_sanguinis	0.06314442244164	0.095713498114243	0.006879999972175
Enterorhabdus_caecimuris	0.09144921269735	0.131440437214924	0.009431427241438
Streptococcus_mitis	0.103169347882819	0.116852134437769	0.019579791593214
Gemella_sanguinis	0.04986449126659	0.153755769903658	0.092953400547098
Romboutsia_ilealis	0.124599594294205	0.117895870970415	0.037812318756315
Dielma_fastidiosa	0.085540504913703	0.092024717035262	0.017668615985915
