featureid	Intercept	donor_source[T.DONOR3]	donor_source[T.DONOR7]	donor_source[T.SPORT17]	time_point
K02182	-1.53560970638626	0.45818835926369	1.10609636686823	1.96001825915877	-0.320217115787614
K02188	0.971187875524828	1.6316179378064	1.23430631540796	-0.552323061355912	0.130939977260482
K02189	-0.463750465854337	0.577949885848315	1.14136038206598	-0.974860224255883	0.51480128058995
K02190	0.750724569813082	1.30365327430084	0.744524220452518	-0.324087637791001	0.159161614271056
K02191	-1.62015317295425	-0.561799134489744	-2.09932126618841	0.547797065845168	-0.0232577901164178
K02192	-1.95457647655838	-0.215785499092786	-1.12035133458593	2.77226625072066	-0.722259921936143
K02193	-1.20233152721756	-0.687345053431241	0.977689424977512	1.73394308673445	-0.520456863550294
K02194	-3.15771840427749	0.662449423793109	0.270764599070759	1.2347262917668	-0.106204939989198
K02195	-1.18702147816055	-0.029694374081342	0.607604722008915	2.05426178561751	-0.403956292180169
K02197	-1.08385752056473	-1.1694668190448	-0.0945280692718317	1.75273047076765	-0.419100103882897
K02198	-0.878263219340971	-0.190848942276685	0.125568198487968	2.06478129016463	-0.57855330219661
K02199	-0.590950473292997	-0.976847852942197	0.391773799882145	1.75986776935164	-0.610142571834672
K02200	-0.73937128399246	-1.17424532341644	-0.122298499121456	1.465991359821	-0.417809618620026
K02203	0.217633978382418	1.38856378627136	1.52556512735865	-0.267471510300004	0.355715410800826
K02217	2.25900782729752	1.60995248389557	1.33431289576075	0.0503301440388326	0.0479119587859031
K02221	-1.0495424113118	-0.330911900278775	-0.643452843203335	-1.79769619120058	0.753576235862624
K02224	1.09939977611668	1.58910039496735	1.07683191679499	-0.538613397011125	0.0480547715147849
K02226	1.83981014873154	1.16523948741272	0.97560558699152	-0.589457291492784	0.215611236186874
K02227	1.26807842488653	1.40003398490265	1.3224452533581	-0.584451812633836	0.205645876022231
K02230	1.57760153795845	1.44319871497467	0.543836066947193	-0.155903118976914	-0.177243074385274
K02231	1.35330799306996	1.46937135291413	1.15176639936945	-0.574675578007066	0.113737212510955
K02232	1.39551818455822	1.3349733693631	1.27104626081964	-0.510223227867448	0.174972819181335
K02233	0.607320026413271	1.34503809047058	1.05198882006189	-0.619897711405122	0.171406643482101
K02236	-1.59895847652786	-0.699065829989164	-1.63610484220007	-1.26538169694837	0.607369618507278
K02237	0.615126565948794	0.427478541258128	0.290872121677608	-1.78013594759401	0.434099512191665
K02238	1.52776207114823	0.706614945653231	0.596477190480442	-1.16713689205941	0.224982218833816
K02240	-1.65232847545975	-1.66368886398956	-3.33608808137396	-1.94808824671205	0.859778361411941
K02242	-1.46622465465896	-1.75307759213135	-2.94239368058661	-2.26845683468279	0.790408330055129
K02243	-0.972982629283598	-1.80413171219513	-2.07757248498419	-2.05807783020433	0.718962924571883
K02244	-1.64446256969803	-1.77854939865753	-2.4118658504627	-2.0748143376201	0.793394999595535
K02245	-1.55722640369766	-1.07384964394256	-2.38467635728338	-1.92872490299638	0.564635651203048
K02246	-1.37974832867019	-1.67902919220611	-2.61067547418097	-2.1776317538112	0.749131994338882
K02248	-1.17864273403518	-0.31596096920654	-0.804708441271572	-0.246323186287248	0.332009689899337
K02255	-1.8422920546376	-0.876694287535398	-1.33467890836218	2.75746522533003	-0.529725117591965
K02257	-0.730426057323148	-1.58145460056946	-0.36829717971304	1.62668190585676	-0.49578712692653
K02278	-1.57745955799454	1.73248413634613	1.10449431322596	-1.19378434432443	0.232561605068099
K02279	-1.21662042950027	2.41910079551056	1.46526155851862	0.969505172839797	-0.547456039098847
K02283	0.952637598768542	0.395191882375033	0.425886074528904	-1.96584059608873	0.461176829429519
K02291	-0.703685744746855	0.637863074067385	2.67761526487848	0.357872348895705	-1.37510637751018
K02297	-0.522087558253935	-1.50251432823822	-2.22818436242559	1.59001384364668	-0.494975654391396
K02298	-0.40207253311508	-1.90447827744171	-0.924461980833798	1.4922684250981	-0.525192929414857
K02299	-0.476172431453397	-1.24905845093414	-2.18528928376654	1.57785068141524	-0.568670554069627
K02300	-0.287086351855924	-0.852858390089719	-0.659259100928097	1.4664271889836	-0.543453736213792
K02302	-0.57380948875778	1.3025517804654	0.769165615067692	0.507426839938796	-0.00868102720176017
K02304	-2.0179090342366	1.51532200408295	2.307327846513	-1.65670265568193	0.532881813140762
K02313	2.59910251285202	0.539204333546908	0.223750630841465	-1.22359130842384	0.301391260715377
K02314	2.89199020053513	0.50081062746361	0.624261418805332	-1.10364627962705	0.250237541290176
K02315	2.18319179202683	1.65327027869538	1.938342432008	-0.0834446133464213	0.314960615726363
K02316	2.52649594928391	0.490811531070025	0.324214915261478	-1.26683335317072	0.265060322376144
K02317	-0.627090199931791	-2.52446314263031	-0.340028931870251	1.91599903689925	-0.686757100729096
K02334	-1.81211779926651	1.9373389823468	2.56202540777704	0.232099872699416	0.249588953348052
K02335	2.67530895854599	0.582963172915728	0.383585999236317	-1.31999199403223	0.211896227689635
K02336	-0.661882503970793	-1.45375307964966	-0.588018854632168	1.51062498675886	-0.388073502091515
K02337	2.68670083667404	0.530060683015139	0.353368917927952	-1.2091425986379	0.247520463558089
K02338	2.29161860133774	0.456146035912783	0.187872658000202	-1.50035246027406	0.292947189899337
K02339	-1.15696667049759	-0.652579452273099	0.0962490686037253	0.875387650600112	-0.075085801986802
K02340	1.96598239328034	0.539499734166415	0.36017612598917	-1.42951108826097	0.325913148017776
K02341	2.15530116941101	0.654498223784716	0.546992997155399	-1.45309038771089	0.333320515247237
K02342	2.73650051738388	0.484029118541034	0.150201933906288	-1.30671878469881	0.157412068935287
K02343	2.35216964866287	0.701782975915225	0.648632863984318	-1.09668121425208	0.269955353828323
K02344	-0.857245667918852	-1.11662479805633	0.0860139042892168	1.42357287990156	-0.352468525973904
K02345	-1.25064824436538	-0.925912226912229	0.32657233856699	2.20441494571272	-0.767691655067551
K02346	2.21804966117508	0.636564616683276	0.224830741510601	-1.21710575682815	0.296862917037856
K02348	-1.51625750873916	0.640049879077227	0.901882151589603	1.32829080211226	-0.110257310775864
K02355	3.6978154339946	0.54114437532738	0.463632295356006	-1.05764050347503	0.221178548427474
K02356	2.89012707854874	0.538996462348254	0.456725577340336	-1.09163792555925	0.226307855935943
K02357	2.72646249915726	0.622605685714038	0.346450904832096	-1.04140263361629	0.184314774366271
K02358	3.10551668788559	0.561222408536227	0.561556557641239	-0.976912844309175	0.228889958949935
K02361	1.01581154848702	1.74226108622864	0.75096688650629	0.110466819873488	-0.104887677339661
K02362	-1.49016402576797	0.0979098571570232	-0.534343620314388	2.29605517970625	-0.428755728510964
K02363	-0.891289456828764	-0.983497943159787	0.0520008113057028	2.13727388965193	-0.474781392125237
K02364	-1.6206283411824	-1.01608952450439	-1.69159330941656	2.10408077823225	-0.316161250678647
K02371	1.74793519164688	1.28340569567993	1.18405828856012	-0.704888659843766	0.172792928310287
K02372	1.99102445031769	0.520267252448352	0.412979731784077	-1.36500183058675	0.30893756637181
K02377	2.70464266921646	0.785362694981845	0.694559256062717	-0.44956441534456	0.0406043101271507
K02379	-0.0450975737416055	1.65186420512512	1.49083826921961	-0.521438020595872	0.217576103301894
K02380	-0.503827913745573	-1.31416829991028	-0.512861808314114	1.07181678401533	-0.36703902295028
K02381	-2.46278260563247	-1.81885382103607	-1.25531043626287	2.63175378428999	-0.255214912334282
K02385	-2.35271523807876	-3.5851971762149	-3.58979382134893	-4.01643814457353	0.880710082145583
K02386	-0.936239226802519	-1.46107014584228	0.176639209017963	2.13737068759505	-0.50450055113231
K02387	0.153562680736849	-0.898307646986692	-1.29320635415533	-1.70548792494234	0.383383588882339
K02388	0.0638495841181967	-0.636733438250272	-0.74359174586752	-1.72068204296526	0.401975708099258
K02389	0.0282246031916831	-0.194935555931775	-0.572922547831326	-0.882800015935266	0.189755784364593
K02390	-0.136899693950346	-1.10512765812561	-0.987198372854977	-1.97834928644594	0.515399293990981
K02391	-1.65835092876785	-2.41234179901764	0.41820270799181	2.10678587543074	-0.237258046848524
K02392	0.350208536640475	-0.787649835821836	-0.910431524290829	-2.36144139183458	0.569847838970077
K02393	-1.59708259914749	-2.26422354149505	0.918839494214268	2.30540238009993	-0.355709804205048
K02394	-1.1028859457814	-1.44641217159912	0.715812722668857	1.82895002948347	-0.441843850521195
K02395	-1.1891155085408	1.95249095988587	0.960282424912662	1.12172041522566	0.0431426037272331
K02396	0.403223053470919	-0.293945814844815	-0.373134394659786	-1.69893755329546	0.386434691043746
K02397	-0.12566004608505	-0.606631662127225	-0.666145106329708	-1.73342283380922	0.460636155696761
K02398	-0.258243545039823	-0.351863886591642	-1.28449954606512	-1.80193968428072	0.417238192649734
K02399	-1.07787512157791	-1.54580911564514	-0.257285644783764	1.43583951579634	-0.288742126880038
K02400	0.348128632561037	-0.236315693136899	-0.136438434495716	-1.05988047210273	0.282512621971023
K02401	-1.00209067676895	1.66068795752838	1.3440516986706	0.733157378307021	-0.0626074503937844
K02402	-0.812736733897856	-2.48233124184295	-1.90832187749365	1.95098863231245	-0.613717479614365
