featureid	Intercept	donor_source[T.DONOR3]	donor_source[T.DONOR7]	donor_source[T.SFM028]	donor_source[T.SPORT17]	donor_source[T.SPORT4]	time_point
K00112	-0.819581655622915	0.282772530851336	-1.33494138820137	-0.652515130376666	-0.291884108748247	-1.47249719303787	0.335580437895096
K00113	-0.524368671537832	0.150937904653521	-0.848324299883496	-1.30905576262459	-0.259125932421495	-1.58103248280227	0.25681880068425
K00116	-0.747701434256033	0.063500364360781	-1.01832187278236	-1.07060881171212	-0.430258109535982	-2.28414627712906	0.374539285417832
K00117	-0.775367764593557	0.118898947772951	-0.970374108385693	-1.47230823550209	-0.348848059143831	-2.87562581700027	0.379370301481522
K00121	-0.749069599272207	1.12588079744336	-0.789538026880871	-0.726227002477496	0.0310132400375259	-1.77268335026443	0.171951561685837
K00123	0.209748896001383	0.105689366397829	-0.202314616274487	0.557189410293252	-0.0427424007318514	-1.02367874783218	0.160810499903
K00124	-0.5283870974793	0.0845772224044517	-0.856359005999219	-0.0648574999330934	-0.155972077812959	-2.05640050572098	0.254488557096756
K00127	-0.208336321474508	0.157396187124224	-1.60773313147987	0.270456267261655	-0.165617793168833	-1.72655793827713	0.139341562505997
K00128	-0.5715520659699	-0.382573763790159	0.915272145438541	1.4442339965345	0.452908084426115	1.54529258805573	-0.108593851808273
K00130	-0.586863664747671	1.1383497315025	0.210121272969592	1.02412263836876	-1.8955890977047	-1.82780405682266	-0.420489993892424
K00131	-1.25601008331914	1.12385507398603	-1.97803533179725	0.541208481156975	-0.192146345343401	2.33255711394608	-0.591498002890312
K00133	2.1802036484466	-0.172686378421812	1.40206015007531	1.08225933995262	0.68860931757469	1.48846838074982	-0.0705193285977475
K00134	2.59954640471797	-0.288480560245542	1.39960330622231	0.833806467914731	0.60219027164955	1.43725455004036	-0.0527806882893673
K00135	-0.271428314806418	0.146106322345705	-1.31391549212898	-0.986652927732318	-0.539985581602861	-1.5738072077626	0.316411286112107
K00137	-0.973934320570425	0.481475313243838	-1.12806367976631	-1.0427233747004	0.0165845013000471	-3.32379457157791	0.187136023756302
K00138	-0.663453487516836	0.0906753438090995	-0.840427876543652	-1.25716836962685	-0.307120635475923	-3.09190818470657	0.403691321131028
K00140	-2.46263971722265	0.463435073432894	-1.54150259597267	0.185129536056668	1.82490040424843	1.26779829162419	-0.125579894069397
K00145	1.99371275508265	-0.104270297052889	1.77657294170891	1.18655286517158	0.525484100613783	1.55194238025009	-0.106681496385299
K00146	-0.0152432600273649	1.15823050313947	-1.2406718741175	0.200977099800259	-1.78940461513024	-2.16753527325332	-1.1587923471963
K00147	1.84223076903681	0.177567173776598	1.37752008335625	1.46179459776893	0.491643742356489	1.83215740519821	-0.14708653140422
K00151	-0.526334909559683	-4.19803218072894	-0.735385180544507	-2.30283494505867	-2.81402037974816	-2.65080591839493	-0.439482905451023
K00156	0.233601423142954	0.995362718639345	-0.216734708380353	1.67226628747001	0.0367881932072741	0.886416467011569	0.0164481992686161
K00158	-0.782889513136343	2.4563281136131	-1.7944136868235	-1.29597516570076	-0.871379419531633	4.35859850245774	-1.20922616172191
K00161	-0.267569867731527	0.644211490688296	1.13651293413674	2.89766244378105	0.18186187807102	2.54803958731949	-0.236946672681533
K00162	-0.144768683077292	0.614162047443362	0.925557850766529	2.77741698708549	-0.0297053748033541	2.44949391681015	-0.30705130893346
K00163	-0.502284554602102	0.0405646162605003	-0.955739379953991	-1.15396829161629	-0.367969825234224	-1.48418924015701	0.312924473997391
K00164	-0.124899951578573	-0.12085902220252	0.503105636010479	1.52194349255577	-0.111147626604845	0.376339109719393	0.120244532343186
K00169	-1.79219332134862	-2.03095702356341	1.84202456371819	2.07328049626365	1.11721195343513	2.26498821574509	0.0193899269068607
K00170	-1.66193809902807	-1.84273461526874	2.02934384243523	2.60718373742119	1.65137626293678	2.19181767302811	-0.161397815231048
K00171	-3.01796641743322	-3.14985207742694	1.34921955959832	-2.06631846938118	0.420414284501265	0.80575509566128	0.340694099184311
K00172	-2.14215722477575	-3.47107915109637	1.90849208729302	0.773158056402356	1.45799686077614	2.08287504512131	0.040234535452164
K00174	1.64011809432368	0.0685559409236625	1.23878902094399	1.51492361512199	0.778236106667708	1.27262298959553	-0.125834763530456
K00175	1.37132314050059	0.254571338233919	1.48435348169838	1.67994110074058	0.943990007672499	1.48698267537415	-0.0830652718579403
K00176	-0.46480694210668	-0.155218127133875	1.89014029400383	1.99584333386436	1.59184755447883	1.80688086348831	-0.333415091518127
K00177	0.540980031876369	-0.114543224635153	1.19675934212242	1.41773794379249	1.67255748871345	1.33188900548279	-0.097158909324371
K00179	0.671780089078947	-0.836498121681242	1.8562507619146	1.99738971676841	0.686608806882094	1.67169454890549	-0.134296805146896
K00180	0.427295731543108	-0.788605074348478	1.75121736424004	1.61072735276237	0.596466854844282	1.4733960648185	-0.0488937203919522
K00184	-0.82388999855657	-4.19103149599078	1.34945052759682	3.66061453309074	0.506743655238341	1.88015660840332	-0.255115464810096
K00185	-1.38593938744207	-3.74034003442767	1.68547260658776	3.98302607026115	0.535431281361769	2.23899558383286	-0.250663608792984
K00194	-1.16611054337163	-1.46426550573352	-2.34026396377052	-2.18031235251412	0.94525165918846	1.5003721435672	-0.238102466348373
K00197	-0.978763131262259	-1.9652593535805	-0.438521982264172	-2.30904074225411	0.890209749970625	1.43051973182022	-0.246003374937736
K00198	-0.415051130415396	1.63928886228559	0.621169536280979	0.512546391898543	1.04151381615181	1.6653262694484	-0.130324185374939
K00208	1.27845666015009	-0.171271110835104	0.87850001351868	1.42264108147636	0.783435241017531	0.637665214121935	-0.165312111858093
K00210	0.530004518269106	-0.766419212284116	0.857753245997775	-0.0227890780924257	0.294306591782759	1.00508929240763	0.0586257572138675
K00215	1.92743668162684	-0.00709023601057976	1.12527626650368	1.17292646851555	0.330795184407423	1.59770789939224	-0.125638247016632
K00216	-1.12615588104864	0.372583587703676	-0.672549367975842	-0.630013900136798	-0.0912221142313974	-1.24214407604873	0.315053313490189
K00219	-0.531037358404593	0.252942551908465	-1.03531038863624	0.525852190071494	0.0642778730728132	-1.59557935398758	0.183945327516831
K00226	0.632800227193638	0.352497299251528	1.3416582335714	1.03500525441185	0.557458714280317	2.15486875373184	-0.211566836122238
K00228	-0.561259059072928	0.0159177827214912	-1.63639223678077	-0.95259483370766	-0.559976085390856	-3.21187850636184	0.359648078199662
K00230	-0.312426952482657	0.221478720245333	-0.677221656870495	-0.997099237775653	-0.138171389069368	-1.55207559269607	0.203782766577042
K00231	-3.31491508877416	4.2842421131706	-0.987346411776196	-0.888832764959186	-2.26954530116539	1.47166750031769	-0.162770718816482
K00239	1.72932872378687	0.287959744272204	1.03110819952523	1.30339227404609	0.902108863625715	1.3166520615226	-0.0623418991601101
K00240	1.4119656404243	0.574104924735995	1.04008191721474	1.26280109372154	0.805800632271956	1.12884580540716	-0.0203485791718594
K00241	0.628275195299192	0.893074710903139	1.63459288971459	1.93219558682457	0.807387367520521	1.2466104646331	-0.092700034860336
K00242	-1.14014628327032	0.727508385715456	-0.443353415560376	-1.41695399794564	0.113963343832682	-1.87028500240982	0.131577521082199
K00243	1.29671320521693	0.510678191719027	0.525240036565412	0.525886112564952	0.473938570056151	1.758864076913	-0.255371600869857
K00244	1.36659351193766	-0.154767746987371	0.508913558348615	1.36553124871269	0.0883175066449148	1.1970668156749	-0.233671397451126
K00245	-0.536153105856375	0.466726143894167	0.0214610685590395	0.676178319120556	0.0401663358100159	-1.28769132298172	0.110964029547013
K00246	-1.49841585552831	0.779901524124117	-0.303667605948102	-0.789014535283893	-0.118349402513315	-2.35011479061783	0.36935576748494
K00247	-1.18645289337774	0.435914416847201	-0.818032742571484	-1.36241932425484	-0.171594499912073	-1.46144768398941	0.299041538950241
K00248	1.0151705762134	-1.88797501749042	1.44109475510155	1.17542342629448	0.708281949792097	1.82796064215958	-0.0609458689725033
K00254	-0.552001265646414	0.582488973674746	1.66486656563317	2.72786502327934	0.590786532197188	1.71587780314743	-0.0355277662312619
K00259	0.465493412850901	0.230267931756945	1.48176509039437	1.58877782311454	0.959172681603621	2.34286454516709	-0.263149738792144
K00261	-2.01322260296483	3.16005726629254	-0.330894113611828	-1.80202527556404	-2.56591461535912	-2.02952810925186	-0.129295439008438
K00262	2.5886156281219	-0.706541310014753	1.28612029449974	1.00345389332786	0.568780258927534	1.46522331434548	-0.0857471232449643
K00265	0.898412885306879	0.0131291347121909	1.48688232796227	2.03136603322044	0.990298167500685	1.3745635767585	-0.0953169767891995
K00266	2.61570534312586	-0.26936741820219	1.56099212067162	1.11022411074653	0.673459306988905	1.61587152081787	-0.0774641935860745
K00275	-0.245558110834555	0.192892928657503	0.864331512618411	1.78804294552818	0.204243645701597	0.790686221898196	0.0510338838065036
K00276	0.299906673072382	1.29498000913617	-1.44899535281624	-0.0944306424616274	-3.53659771319847	-1.46044751805008	-1.42519059825298
K00278	1.82371708953242	-0.766239206256895	1.15699130194222	1.09816829648033	0.44756962421913	1.1673617978698	-0.0322826211487881
K00281	0.88869419896464	-0.430539379777937	1.21737533705269	1.7990941235067	0.410086736712645	1.09004031691015	-0.0517695252930752
K00282	-2.19330921566625	-1.28728274530414	1.10536080496346	2.24595562901512	0.683708087239454	2.03259161311447	-0.0761514608895413
K00283	-1.87379374897619	-2.56625322526935	1.419983982015	2.31368188347831	0.706224039826582	2.06040922004044	0.0402917857134708
K00284	0.870914759276911	0.370403726634951	1.44405448334252	-0.167069392537921	0.342554852996061	1.43017032939255	-0.0791262095009915
K00285	-0.582852629782156	-0.072982932391195	-1.51231730086769	-1.36058922324166	-0.626737400259783	-3.88228294056595	0.30331972193364
K00286	1.78155872428279	0.14284180575368	0.981880723405231	1.1792603560926	0.358369127545546	1.72709700661957	-0.101911038640701
K00287	1.60177561843257	0.474437852439852	0.274738355446208	1.192023558283	1.03495992783089	1.54035577374756	-0.247979820255005
K00290	2.17821082675318	-0.952737550201444	1.15042269127404	0.935049993658215	0.880434111390303	1.36084252792656	-0.116643608096801
K00294	-1.70151653683324	-1.58798817819598	0.54283025013243	1.22690294470802	1.59620107773323	0.872205974639056	-0.46852549586054
K00297	1.77552756869654	-0.523886333169965	1.09536582129036	1.28630964245811	0.344622210297774	1.45341745215714	-0.133250535014831
K00299	-0.805812625051932	0.287767936525317	-1.21053791148628	-1.16893728289589	-0.50317911740761	-3.66452428501785	0.285840779062546
