featureid	Intercept	disease[T.IBS]	disease[T.UC]	gender[T.M]	donor_id_manual[T.DONOR2_T2_B2]	donor_id_manual[T.DONOR3_T1_B1]	donor_id_manual[T.DONOR3_T2_B2]	donor_id_manual[T.DONOR3_T3_B6]	donor_id_manual[T.DONOR7_T1_B8]	donor_id_manual[T.DONOR7_T2_B8]	donor_id_manual[T.SFM028_T1_B1]	donor_id_manual[T.SPORT17_T1_B3]	donor_id_manual[T.SPORT4_T1_B8]	donor_source[T.DONOR3]	donor_source[T.DONOR7]	donor_source[T.SFM028]	donor_source[T.SPORT17]	donor_source[T.SPORT4]	donor_gender[T.M]	status[T.BEFORE]	age	donor_age
K00027	1.31903451358185	0.52602581555991	-1.09749994999888	-1.03110306705986	-0.282801925977419	-2.44170033638808	0.731327234911416	1.04876587453743	0.987559779461879	-0.264188247673009	1.7817850230059	1.66813928565317	1.05602000794011	1.68421671007267	1.99729331211847	-0.350813175696349	0.831828778418729	1.66834864808835	0.821666665595141	-0.656722267744619	-0.0585674095124662	0.129867940951676
K00029	1.19066542064056	0.659378572060154	-1.54263098365787	-0.752392761369092	1.65988521480029	-1.75910931532714	2.83078181664893	1.79509911600014	1.67838404971029	0.471237880237605	1.36447371223778	1.84704191169077	1.57287131390172	0.195296677094615	1.23213501648707	0.255383816402936	1.74883658233566	2.16194901658811	0.360247083228198	-0.449055513022024	-0.134916131493515	0.207835703898759
K00030	0.154122885812375	0.325961752487705	-1.19107489115718	0.230902560095446	1.09597282313769	-2.28018200849626	-0.314581067157294	0.907659269007648	1.39078031378652	-1.25641821598241	0.660520088466108	-0.453888565988006	1.07194481930333	0.0100851378261216	0.0963448174456991	0.0778857738194707	0.871186082991788	0.472237088220492	-1.44718595572177	-0.432262083170492	-0.0322558927506864	-0.00503709931245355
K00031	0.147055801499936	-0.38202603285165	-1.21194211966518	-1.04023771729027	1.04775361918872	-1.90562206213805	0.614683925318216	0.581138587626422	1.95993028479483	0.59684668207934	-0.281301099268496	0.837494797318517	0.134999678941548	-1.29328217889675	1.81284578518671	-0.0769524603667018	0.10594404283447	0.748112954633609	-2.27287965245906	-0.652878125784475	-0.0873773145646513	0.344293027926774
K00033	1.85968869601593	-0.315316156791164	0.349085705213517	-0.417167536874158	0.604798125261714	-1.47060090010497	0.0188207320446714	0.249069250258411	0.730568750676173	-0.537333446495031	0.8356636879763	1.03455013713175	-0.0727975871357019	0.563651653271831	0.227869708106939	-0.99932095702312	-1.06195872482376	1.44048807813443	0.0259262996130853	-0.014408906576711	-0.0414835262269437	0.0647478399766395
K00036	0.299384769548032	-0.0891410869822045	-0.0294726920795734	-0.696125440259321	0.599434005255153	-1.27921312754485	0.985396026777719	1.04858837190529	-0.0480567273605287	-1.43135349725911	0.688619029315412	0.212035781949102	1.65562938294011	0.132915945988811	1.53073044495386	-0.761385026532626	0.853799884947965	0.305222697990313	0.0540945010596185	0.0140033162855326	-0.0575058507890165	0.14098849873671
K00040	-0.789446521054652	-0.526130692408993	-0.715825660295516	-1.02831088747535	0.529018568033626	-1.31030088370177	0.189317672657464	0.612156010302509	0.991028888997096	-0.142151373378728	0.0432005045732852	-0.860966437251033	0.841514395089925	0.710750790578044	1.61263724045557	0.542568650883222	2.93173367324753	1.05381891919889	-0.386946134049329	-0.745524664995748	-0.0539112138719022	0.227350264598221
K00041	-0.240558865915683	0.565721793724583	-1.17777959830287	-0.869118325372083	0.393863426680019	-2.30584120830032	1.4177430860276	0.915617561968768	0.61312870579626	-0.486132579795812	-0.120981055704654	1.38504821738535	1.01642416557866	0.222451897603191	2.22790153698725	0.439956036251569	1.16667968574447	1.23698768808164	-0.46881537862483	-0.737251361486989	-0.0961917686433256	0.272539883662553
K00042	-0.243882122885135	-0.617138133691265	-0.0945910049152667	0.269969828467028	-0.78594998813207	2.38217777306703	0.31047165315101	-1.8454877370272	-0.925701812926275	-0.0264766392631278	-0.0285300495305661	0.900609201996862	-1.26281227031153	-0.551721391934239	-0.677258770896968	0.281375613850141	-1.08476936277466	-0.577393434507474	1.49191731981572	0.212167421700877	0.0482022714644015	-0.106287151764541
K00045	-3.05781370724335	0.794049306465672	-2.9078378511143	-1.53352522846018	2.24415950679248	-4.02623253767821	2.2051867238755	0.756965733202899	0.652832611378688	2.26527808333209	-1.27974663993508	0.334555334656774	1.33001087746221	-0.393449900406682	2.65978630261225	-1.29337933953426	0.359774416121671	1.29781768514432	-2.32779758401576	0.0965551532530009	-0.197698240277237	0.410872131396622
K00046	1.77032321368561	-0.117286698268368	-0.962906105585128	-0.830722264905317	1.02828936480944	-0.668391761234731	2.00592029015968	1.67463979783913	0.885100348767298	-0.234804767124151	1.35121811607689	0.925714678376256	1.83758364758092	1.63531896684758	1.38185508923334	0.721221414249921	2.60641462150497	2.15437898828305	1.69848651460942	-0.711660464880544	-0.079177980420059	0.109930425692887
K00048	-0.480608794342425	0.071843786789463	-0.68338845498088	-0.989355497022016	0.046830551857402	-1.16231184904906	1.20491683404395	1.37196979585549	2.24986873465444	0.909384352214838	1.73969150760978	1.28230983695322	2.00284777721959	1.13210389230839	0.617877740428869	0.210076358955884	1.8254061395256	1.24388990594663	1.1252285914832	-0.536176582453328	-0.0583185005158842	0.195644765902848
K00052	0.120673116792295	-0.495248274253323	-1.05772159821513	-0.890719346661909	1.07282404803698	-1.40325176422927	0.769929348635171	0.619144058855975	2.5600281794634	1.43779967451861	0.839873921664655	0.672479338257848	0.014965490909398	0.1320975146114	0.651614386604253	0.0596233278928044	1.27680022064132	2.12649402810849	-0.813765637356672	-0.665361364958364	-0.0769925165147245	0.274199753810258
K00053	-0.607957932602313	-0.221173004554226	-0.750108583040267	-1.02079432453666	0.590589629644801	-1.58377510016295	0.442200540708993	0.666568971308673	1.75146780806448	0.178182107456233	0.0101911244711276	1.10961873015696	2.17447362980443	0.304342123013652	1.79259808735651	1.26878508631566	0.953503912123869	0.159348942773715	-0.547827653366956	-0.578671415922719	-0.063170318600601	0.28263798337111
K00054	-0.26194709862366	0.338763638092564	3.52150024645802	-0.215372674126966	-3.757963849073	1.90118354851869	-0.80317193348458	0.352270162733997	-4.03749169510935	-0.545854258291219	0.426316809447705	-1.69637518444723	-0.0646497262584861	-1.71773895408519	-3.89483730120855	-0.885776522714114	-1.92142146286087	-0.317500210864171	0.226356335204211	0.118501106622142	0.120355839732224	-0.175141066502242
K00057	-1.16169138575688	-0.343862192080929	-0.795365793771773	-0.793625645299299	0.932171033853938	-0.791059193066091	1.49750482957313	1.21428523126503	1.55323122340109	0.299224239833857	0.4355771062693	0.276952869504033	1.29890619358617	-0.420205978411519	1.75387294964594	1.00343009535649	1.80165464225693	1.21215830041684	-0.642862908322248	-0.585796614763814	-0.0686790990800321	0.287255793620438
K00058	-1.24536455000534	-0.507878736899807	-0.951086862154036	-0.980879001279218	0.724318908686092	-2.25941806738707	0.0401934079403624	0.0702649122800477	2.0895019610491	0.738549453266169	0.933356654437482	-0.243826442152919	-0.0197053835670348	0.102812620145	1.44170673565668	0.00396564308979541	1.87582499328537	1.82522640420713	-1.2836945129222	-0.736251374361593	-0.0719498443574369	0.341617852259965
K00059	1.33835905467376	-0.544251040862515	-0.985183937616378	-0.940623454709394	1.12234370612567	-1.26816540663573	1.28215122144172	1.14638207021614	1.37002216177847	0.141969782360102	0.837965023311078	1.41105598887735	0.811986969323934	0.983935805302776	1.28380890564722	0.793261495274091	1.07175630870743	2.38105259134091	0.588660426657763	-0.552098532793599	-0.0769298124284208	0.183535724688859
K00060	0.813840922463987	0.895580812050388	-0.398391468591719	2.87742591653313	1.14953784846728	2.45125001961854	-0.974850714993979	-2.37677624162773	-0.645697311583501	2.25775311613848	-0.439838139267415	-0.895094626337947	0.0553217767794733	-0.306936202305638	0.638351161048833	1.35023602549412	-0.988086158600619	0.358800597923175	0.225239820998278	-0.57315142977007	0.0504786920576632	-0.210890442322402
