featureid	Intercept	disease[T.IBS]	disease[T.UC]	gender[T.M]	donor_id_manual[T.DONOR2_T2_B2]	donor_id_manual[T.DONOR3_T1_B1]	donor_id_manual[T.DONOR3_T2_B2]	donor_id_manual[T.DONOR3_T3_B6]	donor_id_manual[T.DONOR7_T1_B8]	donor_id_manual[T.DONOR7_T2_B8]	donor_id_manual[T.SFM028_T1_B1]	donor_id_manual[T.SPORT17_T1_B3]	donor_id_manual[T.SPORT4_T1_B8]	donor_source[T.DONOR3]	donor_source[T.DONOR7]	donor_source[T.SFM028]	donor_source[T.SPORT17]	donor_source[T.SPORT4]	donor_gender[T.M]	status[T.BEFORE]	age	donor_age
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
ACRE	-2.43071116349445	-2.08941274336897	1.32775066001565	0.230840337570184	-1.20844296494929	2.78417521657852	-3.03743538002555	-1.01038210882017	0.105191798164294	-1.6481367106048	0.451401353598787	-2.26755873744304	-1.69926325074182	-0.516730941438045	-0.430219550097648	0.514369979930612	-0.439582274940151	-1.6316992445634	-0.47073793450657	0.502345251062742	0.132846789434552	-0.0538089208197422
MDTN	-1.47960461518512	-1.53483706168257	1.83886764152199	0.355281484420769	-1.52640012780634	3.19350129308609	-2.01173671822135	-0.601654939783307	-0.935113816307141	-0.474269008120665	0.828863740683748	-1.41407124583538	-1.42524996987329	-0.568298555516566	-2.50979938026733	0.884150818420144	-0.891025708701748	-1.35769144732219	0.205531239115561	0.415634917238584	0.135590540245175	-0.135950081784708
LNUA	-0.705035103771549	1.43205315419115	-0.697087310717996	0.538953316505425	1.86878134926351	-2.5527648335466	3.188041063742	0.890471882688311	0.238877029373096	2.45228596977316	-0.268983214377211	-0.262741490052297	0.323034131612915	-0.0907881181472196	2.00469462159806	-0.19992808954647	0.946455551597935	0.390592654164021	-1.53056991139713	-0.291325999280581	-0.156114218756557	0.237289912264364
MDTA	0.0148689613605921	-0.733793312826982	1.65865943534524	0.681350839431756	-1.83227447549311	2.97307568731216	-1.8388937387902	-0.367908649576398	-0.258126168296887	-1.37330660768426	0.335472763301088	-0.598241491959645	-1.55156675568567	-1.07349770476755	-1.22427358146972	0.402421132159921	-2.35071508744015	-1.48400823313456	-0.0367093090182888	0.456546830156675	0.130942748859525	-0.189182632405741
EMRA	-0.00158174178348136	-2.54899507216536	1.56417224509865	-0.126850473587043	-1.21793583909479	4.9425256842604	-1.13785037140434	0.772162027227191	-1.16146984581764	-0.605070685824523	0.594197393180086	-2.00647799556072	-1.64477459183679	-1.44306360890802	-2.88410367485351	0.657719806266519	-0.662779258277554	-1.57721606928569	0.631570696436728	0.695148157099119	0.154721634462476	-0.224769227941019
MEFA	-0.0797792210315282	-1.12155085257613	-2.43914451496452	-3.03326200217438	2.02314176281484	-4.00565177259537	2.0812477793258	-1.17080967916319	0.7531580638427	0.0393263345154433	0.394550026179506	2.7548223894376	1.94270929851784	-0.306774586045112	-0.307997603381339	0.466408566070291	0.504263712379795	1.60132809441823	-1.98944820689324	-0.0702207217422816	-0.155009811744094	0.335789314668196
MDTH	-2.01160634896503	-1.59909015349471	1.55315158469826	-0.532675373260505	-2.4471187976977	2.73106795492081	-2.09498056511466	0.01243109213045	-0.836863665626599	-0.502076720675597	1.07069766593094	-0.8383075434428	-1.67123333207117	-0.844812683367099	-2.45470561500854	1.03419406755039	-1.54615585663571	-1.60367480952006	-0.0297056440478909	0.518628405550352	0.14523814804852	-0.101078026730997
ROBA	1.12410311558499	-0.298269266405931	1.08033607108742	0.289995324905389	-2.57680229226557	1.94754010381607	-1.43310674767082	0.0675502489679134	-0.402986435936048	-1.61962685533441	0.596372843505098	-0.434461994813039	-1.09035245171533	0.110733993745481	-1.34658326622314	0.667961195541116	-1.4998616442944	-1.02279392916423	1.4849075075024	0.482505964258542	0.116618560627103	-0.253693454701883
PMRF	0.849105724778313	-0.0749449079426435	1.30653426749856	0.653013837631219	-2.33072141686884	1.66754323186783	-1.71362003426139	-0.397143297327253	0.114381403877185	-1.25617752023614	0.443968117953493	-1.16676847522075	-1.17676821938501	-0.225411541365947	-1.48750771995849	0.519951537681314	-1.34779255249752	-1.1092096968339	0.740438818537558	0.509898351648679	0.109593765810132	-0.221635215718729
CBLA	0.372919069316525	2.34854609318651	-3.53674449817985	-0.448894369308479	5.01070233305486	-9.1364890938768	4.715040835337	2.2033147882097	2.32929185147469	2.62469157032095	-1.78237926888351	1.19897206242268	0.867322409238953	-1.44909607579645	3.31366650346452	-1.71409253733089	1.35965342662082	0.934880931790059	-3.08751452008549	-0.15360845424808	-0.307802116498351	0.455177582066076
GADX	-1.17835320374713	0.761104425272116	1.71708009345681	1.05998767643737	-1.60628036538569	1.02285700979141	-2.03988298515861	-1.0454890061743	0.0659905385512571	-1.32208642908014	0.951303125144197	-0.662962361023976	-0.366412556085449	1.7562176067597	-0.464464087451163	1.0179951940305	-0.550408767249722	-0.298854033534343	1.20287978609737	0.765587257364622	0.102448480203748	-0.21314435525654
ACRS	-2.63262499711261	-2.07950978926741	1.00122926337868	0.417356980140679	0.118440351090752	2.48069077672867	-2.19589981178825	-0.879708461893293	0.689368815376208	-0.896463250598082	-1.11926394629364	-2.20786635463054	-1.10313287964807	-0.354665373989309	-0.135069270098868	-1.05097721474102	-0.00391738274349596	-1.03557435709697	-0.788597464955484	0.409901665666929	0.0955884624272585	-0.0255966119360752
CRP	-1.00706757447467	-0.382328683653703	1.29154441459328	1.14661420613097	-1.29030756036249	2.97301751317886	-1.4008530054528	0.170460171567706	-0.128215103195264	-0.372518276652464	0.70047986579056	-1.30474297587688	-0.58463159790979	0.310808368421231	-1.5727628659851	0.768669799400064	-0.289679931190151	-0.517073075358684	1.41788971384701	0.433036970117917	0.118858175352216	-0.228635721642954
