featureid	Intercept	disease[T.IBS]	disease[T.UC]	gender[T.M]	donor_id_manual[T.DONOR2_T2_B2]	donor_id_manual[T.DONOR3_T1_B1]	donor_id_manual[T.DONOR3_T2_B2]	donor_id_manual[T.DONOR3_T3_B6]	donor_id_manual[T.DONOR7_T1_B8]	donor_id_manual[T.SFM028_T1_B1]	donor_id_manual[T.SPORT17_T1_B3]	donor_id_manual[T.SPORT4_T1_B8]	donor_source[T.DONOR3]	donor_source[T.DONOR7]	donor_source[T.SFM028]	donor_source[T.SPORT17]	donor_source[T.SPORT4]	donor_gender[T.M]	status[T.BEFORE]	age	donor_age
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
VFG043545(gi:218560235)	0.966116327898843	0.25323239756482	1.0097453158881	2.33940699846883	0.101188739921365	3.31169890335628	0.352188003169639	-0.142562857695988	-1.29622843542269	0.880246692470142	-1.14852628388575	-0.0523224801423827	1.18386602718383	-1.29499478276287	0.882902705243656	1.15827621695186	-0.0378862079299454	3.955948169423	-0.734924070324217	0.0443969436122903	-0.253699660700347
VFG000927(gi:26246566)	-0.111668746812003	-0.911936424246856	-0.557090687326023	-0.758033125089215	0.164310118343149	0.415777315412249	-0.0935381828674248	-0.1505015705313	-0.240544077541147	-1.02189213676112	0.431337562416281	-0.584446455598144	-0.679229561798275	-0.239310424881322	-1.02188531202929	0.141750650373953	-0.570010183385706	-0.594003801154239	0.343963846777167	-0.0146606962994805	0.0867184266181929
VFG043081(gi:15801197)	0.339203704254968	-0.812808922997543	-1.40144036593182	-0.3928439900146	1.04614784398249	0.803591002736773	1.04719741355096	-0.0346294258322035	-0.201027449752603	0.527773820928165	0.458071556900229	-0.495335070662467	-1.43242460172623	-0.199793797092778	0.527606033853122	0.13783712860729	-0.480898798450029	-1.15740889768515	0.020321116064276	-0.0174841850862971	0.0657603960218174
VFG000477(gi:16766230)	-1.44141529117312	-1.14333423184497	-1.83977250637753	-0.616742341207074	1.41010954060725	0.288258303914751	2.05027873526726	-0.0479507659162794	-0.221770074750696	0.625480764678546	0.772729006622519	-0.25752251154211	-1.48409765642136	-0.220536422090871	0.62548717217786	0.998048441378134	-0.243086239329672	-0.528832037853343	-0.505751639391695	-0.0537027872965804	0.198777906197522
VFG043110(gi:161367587)	-0.68513331924166	0.31009320212262	2.51092822966831	-0.277984632538365	-0.629235843036856	0.410284985814776	0.837893676864249	-0.600670083292893	-0.2719867048519	1.46606331425054	-0.92327907958201	-0.280771243632106	-0.027857836894691	-0.270753052192075	1.46123262601239	-0.989871544869883	-0.266334971419669	0.702084119511502	0.216094002340521	0.00700117155377354	0.00314623822591134
VFG043120(gi:15802868)	-0.307561095697539	-1.19670637654407	0.0687407415892397	-0.73647978751521	0.161919614459787	1.00446294716426	0.423620832072837	-0.131270102092198	-0.211694982435022	-1.08669144553798	-0.140151071335588	-0.684499967158107	-1.58432674091309	-0.210461329775197	-1.08662740034716	0.224578278032797	-0.67006369494567	-1.05328608016883	0.141458794687475	-0.00170142323310886	0.0889602187754852
VFG043082(gi:15801198)	-0.580687414748328	-0.191066734067031	-2.41380183281643	0.689756126715136	2.81956805863551	-0.340032349314008	1.49410350333367	-0.0928938899721418	-0.219585415508066	0.695072048476764	2.19499060234853	-0.0323778421285429	0.920704248733819	-0.218351762848241	0.695086144975253	1.0041375326791	-0.0179415699161057	0.360291297627347	0.0779549332601683	-0.0825774825976363	0.0922748898821218
VFG043090(gi:15802295)	-0.972379010064261	0.252254702576569	-0.0874082881425108	0.606649966551257	-1.16236595234701	0.886618961606707	-1.26203136433448	-0.114826611110142	-0.327605527426515	-1.03319496554988	-0.243265445317541	-0.57197539812353	-0.609085734561086	-0.32637187476669	-1.03318814081805	-0.398706672819597	-0.557539125911093	-0.392520342873675	0.370060369585242	0.0346257828309068	-0.00266594479658774
VFG042083(gi:15832980)	0.183889020340783	0.741376676091126	0.766085223534278	1.7614283874764	-0.7923016043646	2.15936731270381	-1.30836676348533	-0.170599958726338	-0.688862052346979	-0.566727346607617	-0.151643308784281	-0.124783966005115	2.07390117961913	-0.687628399687154	-0.56672052187579	-0.25277688923691	-0.110347693792677	2.58530765314187	0.278264090631689	0.0554000727965363	-0.226225257318999
VFG040997	0.496736664431436	2.99948195410626	-1.18377409758312	3.1275902107491	2.64067186989955	1.94826649597713	-0.166583466423409	0.002247759274074	2.52945915183851	-0.647774047085217	0.0976935895425933	4.33667146855566	0.483589294739068	2.52750443284001	-0.64776722235339	1.35241331335689	2.4406115058743	-0.338120554494006	0.191314205740179	0.0303694449498185	-0.276033848923232
